rank,title,studio,gross,year
11784,Storefront Hitchcock,Mira.,"$12,355",1998
11785,Spin (2004),Inn.,"$12,355",2004
11786,Backseat,Truly,"$12,343",2008
11787,The Dust Factory,MGM,"$12,311",2004
11788,Full Battle Rattle,MEnd,"$12,306",2008
11789,Big Ain't Bad,BAB,"$12,288",2004
11790,The Living Wake,Mang.,"$12,232",2010
11791,True Friends,2Gen,"$12,231",1998
11792,The Selfish Giant,IFC,"$12,189",2013
11793,China Blue,Argo.,"$12,185",2007
11794,Unknown Pleasures,NYer,"$12,184",2003
11795,Shahid,UTV,"$12,153",2013
11796,Back Door Channels,FKF,"$12,139",2011
11797,Wolves,KE,"$12,139",2014
11798,"If I Want to Whistle, I Whistle",FM,"$12,135",2011
11799,In No Great Hurry: 13 Lessons in Life with Saul Leiter,mTuck,"$12,133",2014
11800,The Last Broadcast,Wvl.,"$12,097",1998
11801,The Kids Grow Up,Shad.,"$12,095",2010
11802,Alien Abduction,IFC,"$12,087",2014
11803,Close Call,Prm,"$12,077",2004
11804,Sex Positive,Reg.,"$12,069",2009
11805,Dreaming of Joseph Lees,FoxS,"$12,044",1999
11806,Defamation,FRun,"$12,038",2009
11807,The French Minister,IFC,"$12,027",2014
11808,Lost Angels: Skid Row is My Home,Libre,"$12,025",2012
11809,Picture Me,Strand,"$12,008",2010
11810,The Vindicator,N/A,"$12,000",1986
11811,Deep Gold,BFA,"$12,000",2011
11812,Shaye & Kiki,Indic.,"$12,000",2002
11813,Rick,Vita.,"$11,991",2004
11814,The Legend of Leigh Bowery,Palm,"$11,989",2003
11815,All Babes Want to Kill Me,HCF,"$11,975",2005
11816,Last Stop for Paul,Mndt,"$11,951",2008
11817,The Go-Getter,PArch,"$11,931",2008
11818,Yellow Asphalt,NYer,"$11,907",2002
11819,In the Fog,Strand,"$11,894",2013
11820,Vengeance Is Mine (re-issue),Jan.,"$11,891",2007
11821,New York in the 50's,Avat.,"$11,882",2001
11822,Smokers Only,Strand,"$11,871",2002
11823,Quid Pro Quo,Magn.,"$11,864",2008
11824,Far From Home,Vest,"$11,859",1989
11825,Contre-Enquete,All.,"$11,846",2008
11826,Janice Beard,Emp.,"$11,816",2002
11827,Woman Is the Future of Man,NYer,"$11,807",2006
11828,Chelsea on the Rocks,Aliq.,"$11,799",2009
11829,The Dry Land,Free,"$11,777",2010
11830,Falcon Rising,Free,"$11,774",2014
11831,Blockade,Icar.,"$11,750",2007
